Vail,blue,400,200,200,50,200,600,1400,1700,2000,39
Aspen,blue,350,200,200,35,175,500,1100,1300,1500,37
Park City,green,320,200,200,28,150,450,1000,1200,1400,34
Deer Valley,green,300,200,200,26,130,390,900,1100,1275,32
Snowbird,green,300,200,200,26,130,390,900,1100,1275,31
Whistler,yellow,280,150,150,24,120,360,850,1025,1200,29
Mont-Tremblant,yellow,260,150,150,22,110,330,800,975,1150,27
Big White,yellow,260,150,150,22,110,330,800,975,1150,26
Killington,red,240,150,150,20,100,300,750,925,1100,24
Sugarbush,red,220,150,150,18,90,250,700,875,1050,23
Stowe,red,220,150,150,18,90,250,700,875,1050,21
Sunday River,orange,200,100,100,16,80,220,600,800,1000,19
Sugarloaf,orange,180,100,100,14,70,200,550,750,950,18
Saddleback,orange,180,100,100,14,70,200,550,750,950,16
Bretton Woods,pink,160,100,100,12,60,180,500,700,900,14
Loon,pink,140,100,100,10,50,150,450,625,750,13
Cannon,pink,140,100,100,10,50,150,450,625,750,11
Jay Peak,lightblue,120,50,50,8,40,100,300,450,600,9
Smugglers' Notch,lightblue,100,50,50,6,30,90,270,400,550,8
Mad River Glen,lightblue,100,50,50,6,30,90,270,400,550,6
Sugar Mountain,brown,60,50,50,4,20,60,180,320,450,3
Arizona Skibowl,brown,60,50,50,2,10,30,90,160,250,1
